Item Code,Colour Status,Colour Status.1,Prev Colour Status,Prev Colour Status.1,Red Days,Red to Black
30161803SD00030,White,White,White,White,0,0
30161803SD01004,White,White,White,White,0,0
30161803SD01002,White,White,White,White,0,0
30161803SD00308,White,White,White,White,0,0
30161803SD00081,White,White,White,White,0,0
30161803SD00102,White,White,White,White,0,0
30161803SD00492,Black,Black,Black,Black,0,0
30161803SD00660,Black,Black,Black,Black,0,0
30161803SD00667,Black,Black,Black,Black,0,0
30161803SD00752,White,White,White,White,0,0
30161803SD00775,Black,Black,Black,Black,0,0
30161803SD00746,White,White,White,White,0,0
30161803SD00727,White,White,White,White,0,0
30161803SD00760,White,White,White,White,0,0
30161803SD00275,White,White,White,White,0,0
30161803SD00076,White,White,White,White,0,0
30161803SD00753,Black,Black,Black,Black,0,0
30161803SD00096,White,White,White,White,0,0
30161803SD00751,White,White,White,White,0,0
30161803SD00756,White,White,White,White,0,0
30161803SD00774,White,White,White,White,0,0
30161803SD00086,White,White,White,White,0,0
30161803SD00750,White,White,White,White,0,0
30161803SD00045,White,White,White,White,0,0
30161803SD00745,White,White,White,White,0,0
30161803SD00754,White,White,White,White,0,0
30161803SD00755,Black,Black,White,White,0,0
30161803SD00122,White,White,White,White,0,0
30161803SD00669,White,White,White,White,0,0
30161803SD00757,White,White,White,White,0,0
30161803SD00091,White,White,White,White,0,0
30161803SD00066,White,White,White,White,0,0
30161803SD00692,White,White,White,White,0,0
30161803SD00749,White,White,White,White,0,0
30161803SD00071,White,White,White,White,0,0
30161803SD00037,White,White,White,White,0,0
30161803SD00393,White,White,White,White,0,0
30161803SD00400,White,White,White,White,0,0
30161803SD00124,White,White,White,White,0,0
30161803SD00277,White,White,White,White,0,0
30161803SD00691,White,White,White,White,0,0
30161803SD00747,White,White,White,White,0,0
30161803SD00053,White,White,White,White,0,0
30161803SD00191,White,White,White,White,0,0
30161803SD00748,White,White,White,White,0,0
30161803SD00061,White,White,White,White,0,0
30161803SD00200,White,White,White,White,0,0
30161803SD00672,White,White,White,White,0,0
30161803SD00675,White,White,White,White,0,0
